#Application: JXR BSC 1.7.6.4
#Release Date: 20200813
#Modbus Model: C2C Model
[2021-06-28 00:00:00.014] Heartbeat: 1
[2021-06-28 00:00:03.014] Heartbeat: 0
[2021-06-28 00:00:06.014] Heartbeat: 1
[2021-06-28 00:00:09.014] Heartbeat: 0
[2021-06-28 00:00:12.014] Heartbeat: 1
[2021-06-28 00:00:15.014] Heartbeat: 0
[2021-06-28 00:00:18.014] Heartbeat: 1
[2021-06-28 00:00:21.015] Heartbeat: 0
[2021-06-28 00:00:24.014] Heartbeat: 1
[2021-06-28 00:00:27.014] Heartbeat: 0
[2021-06-28 00:00:30.014] Heartbeat: 1
[2021-06-28 00:00:33.014] Heartbeat: 0
[2021-06-28 00:00:36.014] Heartbeat: 1
[2021-06-28 00:00:39.015] Heartbeat: 0
[2021-06-28 00:00:42.014] Heartbeat: 1
[2021-06-28 00:00:45.014] Heartbeat: 0
[2021-06-28 00:00:48.014] Heartbeat: 1
[2021-06-28 00:00:51.015] Heartbeat: 0
[2021-06-28 00:00:54.015] Heartbeat: 1
[2021-06-28 00:00:57.015] Heartbeat: 0
[2021-06-28 00:01:00.015] Heartbeat: 1
[2021-06-28 00:01:03.016] Heartbeat: 0
[2021-06-28 00:01:06.015] Heartbeat: 1
[2021-06-28 00:01:09.016] Heartbeat: 0
[2021-06-28 00:01:12.015] Heartbeat: 1
[2021-06-28 00:01:15.015] Heartbeat: 0
[2021-06-28 00:01:18.015] Heartbeat: 1
[2021-06-28 00:01:21.016] Heartbeat: 0
[2021-06-28 00:01:24.016] Heartbeat: 1
[2021-06-28 00:01:27.016] Heartbeat: 0
[2021-06-28 00:01:30.016] Heartbeat: 1
[2021-06-28 00:01:33.016] Heartbeat: 0
[2021-06-28 00:01:36.017] Heartbeat: 1
[2021-06-28 00:01:39.016] Heartbeat: 0
[2021-06-28 00:01:42.016] Heartbeat: 1
[2021-06-28 00:01:45.016] Heartbeat: 0
[2021-06-28 00:01:48.016] Heartbeat: 1
