#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2023-06-22 00:00:00.686] Heartbeat: 0
[2023-06-22 00:00:03.687] Heartbeat: 1
[2023-06-22 00:00:06.686] Heartbeat: 0
[2023-06-22 00:00:09.686] Heartbeat: 1
[2023-06-22 00:00:12.686] Heartbeat: 0
[2023-06-22 00:00:15.686] Heartbeat: 1
[2023-06-22 00:00:18.686] Heartbeat: 0
[2023-06-22 00:00:21.687] Heartbeat: 1
[2023-06-22 00:00:24.687] Heartbeat: 0
[2023-06-22 00:00:27.687] Heartbeat: 1
[2023-06-22 00:00:30.687] Heartbeat: 0
[2023-06-22 00:00:33.688] Heartbeat: 1
[2023-06-22 00:00:36.687] Heartbeat: 0
[2023-06-22 00:00:39.687] Heartbeat: 1
[2023-06-22 00:00:42.687] Heartbeat: 0
[2023-06-22 00:00:45.687] Heartbeat: 1
[2023-06-22 00:00:48.687] Heartbeat: 0
[2023-06-22 00:00:51.688] Heartbeat: 1
[2023-06-22 00:00:54.688] Heartbeat: 0
[2023-06-22 00:00:57.687] Heartbeat: 1
[2023-06-22 00:01:00.688] Heartbeat: 0
[2023-06-22 00:01:03.688] Heartbeat: 1
[2023-06-22 00:01:06.689] Heartbeat: 0
[2023-06-22 00:01:09.688] Heartbeat: 1
[2023-06-22 00:01:12.687] Heartbeat: 0
[2023-06-22 00:01:15.688] Heartbeat: 1
[2023-06-22 00:01:18.688] Heartbeat: 0
[2023-06-22 00:01:21.688] Heartbeat: 1
[2023-06-22 00:01:24.689] Heartbeat: 0
[2023-06-22 00:01:27.689] Heartbeat: 1
[2023-06-22 00:01:30.689] Heartbeat: 0
[2023-06-22 00:01:33.689] Heartbeat: 1
[2023-06-22 00:01:36.689] Heartbeat: 0
[2023-06-22 00:01:39.689] Heartbeat: 1
[2023-06-22 00:01:42.689] Heartbeat: 0
[2023-06-22 00:01:45.690] Heartbeat: 1
[2023-06-22 00:01:48.690] Heartbeat: 0
[2023-06-22 00:01:51.692] Heartbeat: 1
[2023-06-22 00:01:54.689] Heartbeat: 0
[2023-06-22 00:01:57.690] Heartbeat: 1
[2023-06-22 00:02:00.690] Heartbeat: 0
[2023-06-22 00:02:03.690] Heartbeat: 1
[2023-06-22 00:02:06.690] Heartbeat: 0
[2023-06-22 00:02:09.690] Heartbeat: 1
[2023-06-22 00:02:12.690] Heartbeat: 0
[2023-06-22 00:02:15.690] Heartbeat: 1
[2023-06-22 00:02:18.691] Heartbeat: 0
[2023-06-22 00:02:21.691] Heartbeat: 1
[2023-06-22 00:02:24.691] Heartbeat: 0
[2023-06-22 00:02:27.691] Heartbeat: 1
[2023-06-22 00:02:30.690] Heartbeat: 0
[2023-06-22 00:02:33.691] Heartbeat: 1
[2023-06-22 00:02:36.691] Heartbeat: 0
[2023-06-22 00:02:39.691] Heartbeat: 1
[2023-06-22 00:02:42.691] Heartbeat: 0
[2023-06-22 00:02:45.691] Heartbeat: 1
[2023-06-22 00:02:48.691] Heartbeat: 0
[2023-06-22 00:02:51.691] Heartbeat: 1
[2023-06-22 00:02:54.691] Heartbeat: 0
[2023-06-22 00:02:57.692] Heartbeat: 1
[2023-06-22 00:03:00.692] Heartbeat: 0
[2023-06-22 00:03:03.692] Heartbeat: 1
[2023-06-22 00:03:06.691] Heartbeat: 0
[2023-06-22 00:03:09.692] Heartbeat: 1
[2023-06-22 00:03:12.692] Heartbeat: 0
[2023-06-22 00:03:15.692] Heartbeat: 1
[2023-06-22 00:03:18.692] Heartbeat: 0
[2023-06-22 00:03:21.693] Heartbeat: 1
[2023-06-22 00:03:24.692] Heartbeat: 0
[2023-06-22 00:03:27.692] Heartbeat: 1
[2023-06-22 00:03:30.693] Heartbeat: 0
[2023-06-22 00:03:33.692] Heartbeat: 1
[2023-06-22 00:03:36.693] Heartbeat: 0
[2023-06-22 00:03:39.693] Heartbeat: 1
[2023-06-22 00:03:42.693] Heartbeat: 0
[2023-06-22 00:03:45.693] Heartbeat: 1
[2023-06-22 00:03:48.693] Heartbeat: 0
[2023-06-22 00:03:51.693] Heartbeat: 1
[2023-06-22 00:03:54.693] Heartbeat: 0
[2023-06-22 00:03:57.693] Heartbeat: 1
[2023-06-22 00:04:00.693] Heartbeat: 0
[2023-06-22 00:04:03.693] Heartbeat: 1
[2023-06-22 00:04:06.694] Heartbeat: 0
[2023-06-22 00:04:09.694] Heartbeat: 1
[2023-06-22 00:04:12.693] Heartbeat: 0
[2023-06-22 00:04:15.694] Heartbeat: 1
[2023-06-22 00:04:18.693] Heartbeat: 0
[2023-06-22 00:04:21.693] Heartbeat: 1
[2023-06-22 00:04:24.694] Heartbeat: 0
[2023-06-22 00:04:27.694] Heartbeat: 1
[2023-06-22 00:04:30.694] Heartbeat: 0
[2023-06-22 00:04:33.694] Heartbeat: 1
[2023-06-22 00:04:36.695] Heartbeat: 0
[2023-06-22 00:04:39.694] Heartbeat: 1
[2023-06-22 00:04:42.695] Heartbeat: 0
[2023-06-22 00:04:45.694] Heartbeat: 1
[2023-06-22 00:04:48.694] Heartbeat: 0
[2023-06-22 00:04:51.695] Heartbeat: 1
[2023-06-22 00:04:54.695] Heartbeat: 0
[2023-06-22 00:04:57.695] Heartbeat: 1
[2023-06-22 00:05:00.695] Heartbeat: 0
[2023-06-22 00:05:03.695] Heartbeat: 1
[2023-06-22 00:05:06.696] Heartbeat: 0
[2023-06-22 00:05:09.695] Heartbeat: 1
[2023-06-22 00:05:12.695] Heartbeat: 0
[2023-06-22 00:05:15.695] Heartbeat: 1
[2023-06-22 00:05:18.695] Heartbeat: 0
[2023-06-22 00:05:21.696] Heartbeat: 1
[2023-06-22 00:05:24.696] Heartbeat: 0
[2023-06-22 00:05:27.697] Heartbeat: 1
[2023-06-22 00:05:30.696] Heartbeat: 0
[2023-06-22 00:05:33.696] Heartbeat: 1
[2023-06-22 00:05:36.696] Heartbeat: 0
[2023-06-22 00:05:39.696] Heartbeat: 1
[2023-06-22 00:05:42.696] Heartbeat: 0
[2023-06-22 00:05:45.696] Heartbeat: 1
[2023-06-22 00:05:48.696] Heartbeat: 0
[2023-06-22 00:05:51.696] Heartbeat: 1
[2023-06-22 00:05:54.696] Heartbeat: 0
[2023-06-22 00:05:57.697] Heartbeat: 1
[2023-06-22 00:06:00.697] Heartbeat: 0
[2023-06-22 00:06:03.697] Heartbeat: 1
[2023-06-22 00:06:06.697] Heartbeat: 0
[2023-06-22 00:06:09.697] Heartbeat: 1
[2023-06-22 00:06:12.697] Heartbeat: 0
[2023-06-22 00:06:15.697] Heartbeat: 1
[2023-06-22 00:06:18.698] Heartbeat: 0
[2023-06-22 00:06:21.697] Heartbeat: 1
[2023-06-22 00:06:24.698] Heartbeat: 0
[2023-06-22 00:06:27.697] Heartbeat: 1
[2023-06-22 00:06:30.697] Heartbeat: 0
[2023-06-22 00:06:33.698] Heartbeat: 1
[2023-06-22 00:06:36.698] Heartbeat: 0
[2023-06-22 00:06:39.698] Heartbeat: 1
[2023-06-22 00:06:42.698] Heartbeat: 0
[2023-06-22 00:06:45.698] Heartbeat: 1
[2023-06-22 00:06:48.698] Heartbeat: 0
[2023-06-22 00:06:51.698] Heartbeat: 1
[2023-06-22 00:06:54.698] Heartbeat: 0
[2023-06-22 00:06:57.698] Heartbeat: 1
[2023-06-22 00:07:00.699] Heartbeat: 0
[2023-06-22 00:07:03.699] Heartbeat: 1
[2023-06-22 00:07:06.699] Heartbeat: 0
[2023-06-22 00:07:09.699] Heartbeat: 1
[2023-06-22 00:07:12.698] Heartbeat: 0
[2023-06-22 00:07:15.699] Heartbeat: 1
[2023-06-22 00:07:18.699] Heartbeat: 0
[2023-06-22 00:07:21.699] Heartbeat: 1
[2023-06-22 00:07:24.700] Heartbeat: 0
[2023-06-22 00:07:27.699] Heartbeat: 1
[2023-06-22 00:07:30.700] Heartbeat: 0
[2023-06-22 00:07:33.700] Heartbeat: 1
[2023-06-22 00:07:36.700] Heartbeat: 0
[2023-06-22 00:07:39.700] Heartbeat: 1
[2023-06-22 00:07:42.700] Heartbeat: 0
[2023-06-22 00:07:45.700] Heartbeat: 1
[2023-06-22 00:07:48.700] Heartbeat: 0
