#Application: JXR BSC 1.8.1.1
#Release Date: 20210916
#Modbus Model: C2C Model
[2023-06-28 20:27:20.772] Heartbeat: 1
[2023-06-28 20:27:20.773] Contactor Control: Open All
[2023-06-28 20:27:21.038] Heartbeat: 0
[2023-06-28 20:27:21.040] Contactor Control: Open All
[2023-06-28 20:27:21.313] Heartbeat: 1
[2023-06-28 20:27:21.315] Contactor Control: Open All
[2023-06-28 20:27:21.572] Heartbeat: 0
[2023-06-28 20:27:21.832] Heartbeat: 1
[2023-06-28 20:27:22.083] Heartbeat: 0
[2023-06-28 20:27:22.348] Heartbeat: 1
[2023-06-28 20:27:22.606] Heartbeat: 0
[2023-06-28 20:27:22.844] Heartbeat: 1
[2023-06-28 20:27:23.100] Heartbeat: 0
[2023-06-28 20:27:23.373] Heartbeat: 1
[2023-06-28 20:27:23.631] Heartbeat: 0
[2023-06-28 20:27:23.871] Heartbeat: 1
[2023-06-28 20:27:24.122] Heartbeat: 0
[2023-06-28 20:27:24.377] Heartbeat: 1
[2023-06-28 20:27:24.637] Heartbeat: 0
[2023-06-28 20:27:24.872] Heartbeat: 1
[2023-06-28 20:27:25.115] Heartbeat: 0
[2023-06-28 20:27:25.375] Heartbeat: 1
[2023-06-28 20:27:25.633] Heartbeat: 0
[2023-06-28 20:27:25.880] Heartbeat: 1
[2023-06-28 20:27:26.133] Heartbeat: 0
[2023-06-28 20:27:27.930] Heartbeat: 1
[2023-06-28 20:27:30.930] Heartbeat: 0
[2023-06-28 20:27:33.931] Heartbeat: 1
[2023-06-28 20:27:36.930] Heartbeat: 0
[2023-06-28 20:27:39.931] Heartbeat: 1
[2023-06-28 20:27:42.931] Heartbeat: 0
[2023-06-28 20:27:45.930] Heartbeat: 1
[2023-06-28 20:27:48.931] Heartbeat: 0
[2023-06-28 20:27:51.931] Heartbeat: 1
[2023-06-28 20:27:54.931] Heartbeat: 0
[2023-06-28 20:27:57.931] Heartbeat: 1
[2023-06-28 20:28:00.931] Heartbeat: 0
[2023-06-28 20:28:03.931] Heartbeat: 1
[2023-06-28 20:28:06.931] Heartbeat: 0
[2023-06-28 20:28:09.931] Heartbeat: 1
[2023-06-28 20:28:12.931] Heartbeat: 0
[2023-06-28 20:28:15.932] Heartbeat: 1
[2023-06-28 20:28:18.931] Heartbeat: 0
[2023-06-28 20:28:21.931] Heartbeat: 1
[2023-06-28 20:28:24.933] Heartbeat: 0
[2023-06-28 20:28:27.932] Heartbeat: 1
[2023-06-28 20:28:30.932] Heartbeat: 0
[2023-06-28 20:28:33.931] Heartbeat: 1
[2023-06-28 20:28:36.932] Heartbeat: 0
[2023-06-28 20:28:39.933] Heartbeat: 1
[2023-06-28 20:28:42.933] Heartbeat: 0
[2023-06-28 20:28:45.934] Heartbeat: 1
[2023-06-28 20:28:48.934] Heartbeat: 0
[2023-06-28 20:28:51.933] Heartbeat: 1
[2023-06-28 20:28:54.934] Heartbeat: 0
[2023-06-28 20:28:57.933] Heartbeat: 1
[2023-06-28 20:29:00.934] Heartbeat: 0
[2023-06-28 20:29:03.934] Heartbeat: 1
[2023-06-28 20:29:06.934] Heartbeat: 0
[2023-06-28 20:29:09.934] Heartbeat: 1
[2023-06-28 20:29:12.934] Heartbeat: 0
[2023-06-28 20:29:15.934] Heartbeat: 1
[2023-06-28 20:29:18.934] Heartbeat: 0
[2023-06-28 20:29:21.934] Heartbeat: 1
[2023-06-28 20:29:24.934] Heartbeat: 0
[2023-06-28 20:29:27.935] Heartbeat: 1
[2023-06-28 20:29:30.934] Heartbeat: 0
[2023-06-28 20:29:33.935] Heartbeat: 1
[2023-06-28 20:29:36.935] Heartbeat: 0
[2023-06-28 20:29:39.936] Heartbeat: 1
[2023-06-28 20:29:42.936] Heartbeat: 0
[2023-06-28 20:29:45.936] Heartbeat: 1
[2023-06-28 20:29:48.935] Heartbeat: 0
[2023-06-28 20:29:51.935] Heartbeat: 1
[2023-06-28 20:29:54.936] Heartbeat: 0
[2023-06-28 20:29:57.936] Heartbeat: 1
[2023-06-28 20:30:00.937] Heartbeat: 0
[2023-06-28 20:30:03.936] Heartbeat: 1
[2023-06-28 20:30:06.937] Heartbeat: 0
[2023-06-28 20:30:09.937] Heartbeat: 1
[2023-06-28 20:30:12.937] Heartbeat: 0
[2023-06-28 20:30:15.937] Heartbeat: 1
[2023-06-28 20:30:18.938] Heartbeat: 0
[2023-06-28 20:30:21.938] Heartbeat: 1
[2023-06-28 20:30:24.937] Heartbeat: 0
[2023-06-28 20:30:27.937] Heartbeat: 1
[2023-06-28 20:30:30.938] Heartbeat: 0
[2023-06-28 20:30:33.937] Heartbeat: 1
[2023-06-28 20:30:36.938] Heartbeat: 0
[2023-06-28 20:30:39.938] Heartbeat: 1
[2023-06-28 20:30:42.938] Heartbeat: 0
[2023-06-28 20:30:45.938] Heartbeat: 1
[2023-06-28 20:30:48.938] Heartbeat: 0
[2023-06-28 20:30:51.938] Heartbeat: 1
